"file","rms","boat_tonality","peak_freq","n_harmonic_peaks","spectral_entropy","band_energy_ratio","site","datetime_utc","datetime_chile","hour_chile","date_chile","is_night","rule_base","boat_detected"
"20251113_125800.WAV",2833.2263,3.978,516.6,3,3.067,0.01742,"Matanzas 32","2025-11-13 12:58:00","2025-11-13 09:58:00",9,"2025-11-13",FALSE,FALSE,FALSE
"20251113_130000.WAV",2457.3104,3.451,516.6,3,3.116,0.01611,"Matanzas 32","2025-11-13 13:00:00","2025-11-13 10:00:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_130200.WAV",2446.655,3.127,109.6,3,3.135,0.02489,"Matanzas 32","2025-11-13 13:02:00","2025-11-13 10:02:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_130400.WAV",2603.9151,12.505,156.6,3,2.755,0.03312,"Matanzas 32","2025-11-13 13:04:00","2025-11-13 10:04:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_130600.WAV",2873.763,10.987,109.6,3,2.908,0.01779,"Matanzas 32","2025-11-13 13:06:00","2025-11-13 10:06:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_130800.WAV",2560.0573,3.192,109.6,3,3.05,0.03057,"Matanzas 32","2025-11-13 13:08:00","2025-11-13 10:08:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_131000.WAV",2493.7398,4.223,109.6,3,3.105,0.02297,"Matanzas 32","2025-11-13 13:10:00","2025-11-13 10:10:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_131200.WAV",2755.2326,5.737,516.6,3,3.063,0.01645,"Matanzas 32","2025-11-13 13:12:00","2025-11-13 10:12:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_131400.WAV",2768.5068,8.695,109.6,3,2.964,0.01752,"Matanzas 32","2025-11-13 13:14:00","2025-11-13 10:14:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_131600.WAV",2688.0002,6.398,109.6,3,3.005,0.01908,"Matanzas 32","2025-11-13 13:16:00","2025-11-13 10:16:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_131800.WAV",2585.3712,2.679,516.6,3,3.178,0.01008,"Matanzas 32","2025-11-13 13:18:00","2025-11-13 10:18:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_132000.WAV",2753.1763,3.146,516.6,3,3.2,0.00858,"Matanzas 32","2025-11-13 13:20:00","2025-11-13 10:20:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_132200.WAV",2574.9469,25.542,172.2,3,2.341,0.05459,"Matanzas 32","2025-11-13 13:22:00","2025-11-13 10:22:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_132400.WAV",2780.5936,26.064,172.2,3,2.394,0.10402,"Matanzas 32","2025-11-13 13:24:00","2025-11-13 10:24:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_132600.WAV",2260.692,5.515,156.6,3,3.03,0.02779,"Matanzas 32","2025-11-13 13:26:00","2025-11-13 10:26:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_132800.WAV",2752.9755,3.539,516.6,3,3.132,0.0092,"Matanzas 32","2025-11-13 13:28:00","2025-11-13 10:28:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_133000.WAV",2870.1735,5.466,109.6,3,3.049,0.02199,"Matanzas 32","2025-11-13 13:30:00","2025-11-13 10:30:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_133200.WAV",2699.5867,2.619,501,3,3.172,0.01003,"Matanzas 32","2025-11-13 13:32:00","2025-11-13 10:32:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_133400.WAV",2771.7403,4.446,140.9,3,3.051,0.02537,"Matanzas 32","2025-11-13 13:34:00","2025-11-13 10:34:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_133600.WAV",2777.4873,3.221,516.6,3,3.161,0.00888,"Matanzas 32","2025-11-13 13:36:00","2025-11-13 10:36:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_133800.WAV",2960.1728,4.329,172.2,3,3.103,0.01362,"Matanzas 32","2025-11-13 13:38:00","2025-11-13 10:38:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_134000.WAV",3144.9858,6.776,109.6,3,3.044,0.01234,"Matanzas 32","2025-11-13 13:40:00","2025-11-13 10:40:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_134200.WAV",2491.0452,3.995,109.6,3,3.132,0.01151,"Matanzas 32","2025-11-13 13:42:00","2025-11-13 10:42:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_134400.WAV",2711.7732,3.964,516.6,3,3.138,0.00771,"Matanzas 32","2025-11-13 13:44:00","2025-11-13 10:44:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_134600.WAV",2937.4918,6.227,109.6,3,3.008,0.01633,"Matanzas 32","2025-11-13 13:46:00","2025-11-13 10:46:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_134800.WAV",2600.1598,2.771,109.6,3,3.183,0.0144,"Matanzas 32","2025-11-13 13:48:00","2025-11-13 10:48:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_135000.WAV",2951.5415,2.635,516.6,3,3.185,0.01007,"Matanzas 32","2025-11-13 13:50:00","2025-11-13 10:50:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_135200.WAV",2592.32,4.192,516.6,3,3.126,0.01591,"Matanzas 32","2025-11-13 13:52:00","2025-11-13 10:52:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_135400.WAV",2602.4811,2.586,516.6,3,3.22,0.01205,"Matanzas 32","2025-11-13 13:54:00","2025-11-13 10:54:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_135600.WAV",2493.5212,5.76,109.6,3,3.085,0.0197,"Matanzas 32","2025-11-13 13:56:00","2025-11-13 10:56:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_135800.WAV",2544.8395,5.172,172.2,3,3.028,0.01965,"Matanzas 32","2025-11-13 13:58:00","2025-11-13 10:58:00",10,"2025-11-13",FALSE,FALSE,FALSE
"20251113_140000.WAV",3014.2923,9.034,156.6,3,2.948,0.02064,"Matanzas 32","2025-11-13 14:00:00","2025-11-13 11:00:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_140200.WAV",2970.1132,2.695,516.6,4,3.203,0.01127,"Matanzas 32","2025-11-13 14:02:00","2025-11-13 11:02:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_140400.WAV",2893.51,10.523,109.6,3,2.806,0.02767,"Matanzas 32","2025-11-13 14:04:00","2025-11-13 11:04:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_140600.WAV",2941.4785,2.949,516.6,3,3.148,0.00854,"Matanzas 32","2025-11-13 14:06:00","2025-11-13 11:06:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_140800.WAV",2981.0957,23.038,172.2,3,2.41,0.02031,"Matanzas 32","2025-11-13 14:08:00","2025-11-13 11:08:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_141000.WAV",2761.5119,2.615,516.6,3,3.185,0.0106,"Matanzas 32","2025-11-13 14:10:00","2025-11-13 11:10:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_141200.WAV",3260.5711,2.554,516.6,3,3.205,0.00945,"Matanzas 32","2025-11-13 14:12:00","2025-11-13 11:12:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_141400.WAV",2856.4764,3.485,516.6,3,3.19,0.01484,"Matanzas 32","2025-11-13 14:14:00","2025-11-13 11:14:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_141600.WAV",2952.2393,2.334,156.6,3,3.215,0.01664,"Matanzas 32","2025-11-13 14:16:00","2025-11-13 11:16:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_141800.WAV",2875.5563,3.476,172.2,3,3.125,0.01398,"Matanzas 32","2025-11-13 14:18:00","2025-11-13 11:18:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_142000.WAV",3048.0247,3.657,156.6,3,3.119,0.01051,"Matanzas 32","2025-11-13 14:20:00","2025-11-13 11:20:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_142200.WAV",3032.6634,2.872,516.6,3,3.187,0.00867,"Matanzas 32","2025-11-13 14:22:00","2025-11-13 11:22:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_142400.WAV",2877.0761,3.591,109.6,3,3.14,0.0108,"Matanzas 32","2025-11-13 14:24:00","2025-11-13 11:24:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_142600.WAV",3049.7332,4.136,156.6,3,3.094,0.01155,"Matanzas 32","2025-11-13 14:26:00","2025-11-13 11:26:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_142800.WAV",2959.8654,11.991,109.6,3,2.696,0.02866,"Matanzas 32","2025-11-13 14:28:00","2025-11-13 11:28:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_143000.WAV",3134.2425,3.793,156.6,4,3.106,0.01115,"Matanzas 32","2025-11-13 14:30:00","2025-11-13 11:30:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_143200.WAV",2815.0749,8.054,172.2,3,2.921,0.01953,"Matanzas 32","2025-11-13 14:32:00","2025-11-13 11:32:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_143400.WAV",2920.3374,3.321,516.6,3,3.162,0.00855,"Matanzas 32","2025-11-13 14:34:00","2025-11-13 11:34:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_143600.WAV",2842.2035,2.142,516.6,3,3.223,0.01702,"Matanzas 32","2025-11-13 14:36:00","2025-11-13 11:36:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_143800.WAV",3110.1466,2.95,516.6,3,3.206,0.00765,"Matanzas 32","2025-11-13 14:38:00","2025-11-13 11:38:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_144000.WAV",2974.742,3.981,156.6,3,3.17,0.01104,"Matanzas 32","2025-11-13 14:40:00","2025-11-13 11:40:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_144200.WAV",2998.9614,2.708,516.6,4,3.194,0.00981,"Matanzas 32","2025-11-13 14:42:00","2025-11-13 11:42:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_144400.WAV",3181.5256,2.665,516.6,3,3.215,0.00823,"Matanzas 32","2025-11-13 14:44:00","2025-11-13 11:44:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_144600.WAV",3278.6433,5.982,172.2,3,3.01,0.01496,"Matanzas 32","2025-11-13 14:46:00","2025-11-13 11:46:00",11,"2025-11-13",FALSE,FALSE,FALSE
"20251113_144800.WAV",3077.8868,6.92,156.6,3,2.965,0.0107,"Matanzas 32","2025-11-13 14:48:00","2025-11-13 11:48:00",11,"2025-11-13",FALSE,FALSE,FALSE
