"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Matanzas 32","20251204_071800.WAV","2025-12-04",4,38.902,3,140.9
"Matanzas 32","20251208_014200.WAV","2025-12-07",22,45.009,3,187.9
"Ventanas 36","20251108_010800.WAV","2025-11-07",22,36.562,3,140.9
"Ventanas 36","20251108_011000.WAV","2025-11-07",22,69.659,3,140.9
"Ventanas 36","20251108_031200.WAV","2025-11-08",0,49.372,3,109.6
"Ventanas 36","20251108_031400.WAV","2025-11-08",0,37.744,3,109.6
"Ventanas 36","20251108_031600.WAV","2025-11-08",0,167.549,3,109.6
"Ventanas 36","20251108_031800.WAV","2025-11-08",0,70.515,3,125.2
"Zapallar 34","20251108_020200.WAV","2025-11-07",23,33.565,3,109.6
"Zapallar 34","20251108_020600.WAV","2025-11-07",23,33.891,3,125.2
"Zapallar 34","20251108_022200.WAV","2025-11-07",23,44.472,3,156.6
"Zapallar 34","20251108_031400.WAV","2025-11-08",0,50.495,3,109.6
"Zapallar 34","20251108_041800.WAV","2025-11-08",1,33.69,3,125.2
"Zapallar 34","20251108_061600.WAV","2025-11-08",3,37.468,3,125.2
"Zapallar 34","20251108_063000.WAV","2025-11-08",3,53.38,3,125.2
"Zapallar 34","20251108_064800.WAV","2025-11-08",3,107.705,3,140.9
"Zapallar 34","20251108_065800.WAV","2025-11-08",3,57.284,3,140.9
"Zapallar 34","20251108_070800.WAV","2025-11-08",4,96.816,3,187.9
"Zapallar 34","20251108_071000.WAV","2025-11-08",4,32.392,3,109.6
"Zapallar 34","20251108_071600.WAV","2025-11-08",4,43.995,3,140.9
"Zapallar 34","20251108_073800.WAV","2025-11-08",4,34.543,3,109.6
"Zapallar 34","20251108_074200.WAV","2025-11-08",4,50.584,3,172.2
"Zapallar 34","20251108_081200.WAV","2025-11-08",5,49.705,3,140.9
"Zapallar 34","20251108_082800.WAV","2025-11-08",5,49.007,3,172.2
"Zapallar 34","20251109_082400.WAV","2025-11-09",5,54.538,3,516.6
"Zapallar 34","20251109_084600.WAV","2025-11-09",5,48.289,3,125.2
"Zapallar 34","20251111_084600.WAV","2025-11-11",5,33.206,3,438.4
"Zapallar 34","20251111_095000.WAV","2025-11-11",6,31.756,3,516.6
"Zapallar 34","20251113_011800.WAV","2025-11-12",22,40.23,4,187.9
"Zapallar 34","20251114_030400.WAV","2025-11-14",0,33.543,3,125.2
"Zapallar 34","20251115_095400.WAV","2025-11-15",6,134.183,4,516.6
"Zapallar 34","20251116_094200.WAV","2025-11-16",6,61.349,3,156.6
"Zapallar 34","20251118_075800.WAV","2025-11-18",4,38.503,3,125.2
"Zapallar 34","20251118_080200.WAV","2025-11-18",5,37.859,3,125.2
"Zapallar 34","20251118_080800.WAV","2025-11-18",5,32.382,3,140.9
"Zapallar 34","20251119_031000.WAV","2025-11-19",0,31.267,3,109.6
"Zapallar 34","20251119_035200.WAV","2025-11-19",0,30.025,3,125.2
"Zapallar 34","20251119_041600.WAV","2025-11-19",1,82.915,3,109.6
"Zapallar 34","20251119_042400.WAV","2025-11-19",1,31.611,3,109.6
"Zapallar 34","20251120_012200.WAV","2025-11-19",22,39.586,3,109.6
"Zapallar 34","20251120_013400.WAV","2025-11-19",22,53.313,3,125.2
"Zapallar 34","20251122_040200.WAV","2025-11-22",1,66.49,3,109.6
